Index,Stream,OpDirn,ByteSize,Locality,Reg_Addr,Reg_Name,Reg_Payload,Tag,CmdSize,CmdCode/ResponseCode,Cmd_Name/Response_Name,Cmd_Payload/Response_Payload
38,MOSI,READ,4,0,0x018,TPM_STS,00 00 00 00,,,,,
38,MISO,READ,4,0,0x018,TPM_STS,90 0A 00 04,,,,,
39,MOSI,READ,14,0,0x034,TPM_DATA_CSUM_ENABLE,00 00 00 00 00 00 00 00 00 00,,,,,
39,MISO,READ,14,0,0x034,TPM_DATA_CSUM_ENABLE,80 01 00 00 00 0A 00 00 00 00,,,,,
40,MOSI,WRITE,1,0,0x01C,RESERVED,60,,,,,
40,MISO,WRITE,1,0,0x01C,RESERVED,00,,,,,
41,MOSI,WRITE,1,0,0x000,TPM_ACCESS,30,,,,,
41,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
42,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
42,MISO,READ,1,0,0x000,TPM_ACCESS,81,,,,,
43,MOSI,WRITE,1,0,0x000,TPM_ACCESS,03,,,,,
43,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
44,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
44,MISO,READ,1,0,0x000,TPM_ACCESS,A1,,,,,
45,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
45,MISO,READ,1,0,0x01C,RESERVED,00,,,,,
46,MOSI,WRITE,1,0,0x01C,RESERVED,40,,,,,
46,MISO,WRITE,1,0,0x01C,RESERVED,00,,,,,
47,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
47,MISO,READ,1,0,0x01C,RESERVED,40,,,,,
48,MOSI,READ,4,0,0x018,TPM_STS,00 00 00 00,,,,,
48,MISO,READ,4,0,0x018,TPM_STS,40 FF 00 04,,,,,
50,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
50,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
51,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
51,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
52,MOSI,WRITE,1,0,0x018,TPM_STS,20,,,,,
52,MISO,WRITE,1,0,0x018,TPM_STS,00,,,,,
53,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
53,MISO,READ,1,0,0x018,TPM_STS,90,,,,,
54,MOSI,READ,4,0,0x01C,RESERVED,00 00 00 00,,,,,
54,MISO,READ,4,0,0x01C,RESERVED,90 1F 00 04,,,,,
56,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
56,MISO,READ,1,0,0x01C,RESERVED,90,,,,,
57,MOSI,READ,4,0,0x01C,RESERVED,00 00 00 00,,,,,
57,MISO,READ,4,0,0x01C,RESERVED,90 15 00 04,,,,,
55,MOSI,READ,14,0,0x024,TPM_DATA_FIFO,00 00 00 00 00 00 00 00 00 00,,,,,
55,MISO,READ,14,0,0x024,TPM_DATA_FIFO,80 01 00 00 00 1F 00 00 00 00 00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF,0x8001,31,0x0,SUCCESS,00 00 00 00 05 00 00 00 02 00 04 03 FF FF FF 00 0B 03 FF FF FF
59,MOSI,WRITE,1,0,0x01C,RESERVED,40,,,,,
59,MISO,WRITE,1,0,0x01C,RESERVED,00,,,,,
60,MOSI,WRITE,1,0,0x000,TPM_ACCESS,30,,,,,
60,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
61,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
61,MISO,READ,1,0,0x000,TPM_ACCESS,81,,,,,
62,MOSI,WRITE,1,0,0x000,TPM_ACCESS,03,,,,,
62,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
63,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
63,MISO,READ,1,0,0x000,TPM_ACCESS,A1,,,,,
64,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
64,MISO,READ,1,0,0x018,TPM_STS,40,,,,,
65,MOSI,READ,4,0,0x018,TPM_STS,00 00 00 00,,,,,
65,MISO,READ,4,0,0x018,TPM_STS,40 FF 00 04,,,,,
67,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
67,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
68,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
68,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
69,MOSI,WRITE,1,0,0x01C,RESERVED,20,,,,,
69,MISO,WRITE,1,0,0x01C,RESERVED,00,,,,,
70,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
70,MISO,READ,1,0,0x018,TPM_STS,90,,,,,
71,MOSI,READ,4,0,0x01C,RESERVED,00 00 00 00,,,,,
71,MISO,READ,4,0,0x01C,RESERVED,90 1B 00 04,,,,,
73,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
73,MISO,READ,1,0,0x01C,RESERVED,90,,,,,
74,MOSI,READ,4,0,0x018,TPM_STS,00 00 00 00,,,,,
74,MISO,READ,4,0,0x018,TPM_STS,90 11 00 04,,,,,
72,MOSI,READ,14,0,0x024,TPM_DATA_FIFO,00 00 00 00 00 00 00 00 00 00,,,,,
72,MISO,READ,14,0,0x024,TPM_DATA_FIFO,80 01 00 00 00 1B 00 00 00 00 01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18,0x8001,27,0x0,SUCCESS,01 00 00 00 06 00 00 00 01 00 00 01 12 00 00 00 18
76,MOSI,WRITE,1,0,0x018,TPM_STS,40,,,,,
76,MISO,WRITE,1,0,0x018,TPM_STS,00,,,,,
77,MOSI,WRITE,1,0,0x000,TPM_ACCESS,20,,,,,
77,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
78,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
78,MISO,READ,1,0,0x000,TPM_ACCESS,81,,,,,
79,MOSI,WRITE,1,0,0x000,TPM_ACCESS,02,,,,,
79,MISO,WRITE,1,0,0x000,TPM_ACCESS,00,,,,,
80,MOSI,READ,1,0,0x000,TPM_ACCESS,00,,,,,
80,MISO,READ,1,0,0x000,TPM_ACCESS,A1,,,,,
81,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
81,MISO,READ,1,0,0x01C,RESERVED,40,,,,,
82,MOSI,READ,4,0,0x018,TPM_STS,00 00 00 00,,,,,
82,MISO,READ,4,0,0x018,TPM_STS,40 FF 00 04,,,,,
83,MOSI,WRITE,12,0,0x024,TPM_DATA_FIFO,C0 01 00 00 00 0B 00 00 01 43 01,TPMI_ST_COMMAND_TAG.None,11,TPM_CC.SelfTest,SelfTest,01
83,MISO,WRITE,12,0,0x024,TPM_DATA_FIFO,00 00 00 00 00 00 00 00 00 00 00,,,,,
84,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
84,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
85,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
85,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
86,MOSI,WRITE,1,0,0x018,TPM_STS,30,,,,,
86,MISO,WRITE,1,0,0x018,TPM_STS,00,,,,,
87,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
87,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
88,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
88,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
89,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
89,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
90,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
90,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
91,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
91,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
92,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
92,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
93,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
93,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
94,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
94,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
95,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
95,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
96,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
