index,stage,operation,register,reason,mosi,miso
3117,TPM_RESPONSE,READ,TPM_DATA_FIFO,"{'tag': '0x0', 'response_size': 0, 'response_code': '0x0', 'response_name': 'SUCCESS', 'tree': '\x1b[34mResponse\x1b[0m                                  \x1b[30m\x1b[0m\x1b[92m.\x1b[0m                                              \x1b[33m                    \x1b[0m \x1b[33m\x1b[0m\n\x1b[34mTPM_ST\x1b[0m                                    \x1b[30m|   \x1b[0m\x1b[92m.tag\x1b[0m                                       \x1b[33m0000                \x1b[0m \x1b[33mTPM_ST.None\x1b[0m\n\x1b[31mWarning: Parsed bad value for TPM_ST .tag = 0x0 = 0 not in ValidValues(TPM_ST)\x1b[0m\n\x1b[34mUINT32\x1b[0m                                    \x1b[30m|   \x1b[0m\x1b[92m.responseSize\x1b[0m                              \x1b[33m00000000            \x1b[0m \x1b[33m0\x1b[0m\n\x1b[31mWarning: Violated size constraint .responseSize = 0: already parsed 6 bytes and .responseCode exceeds the limit by 10 byte(s).\x1b[0m\n\x1b[31mWarning: Parser done but input stream not exhausted. Remaining bytes: 000000000000000000000000000000\x1b[0m\n'}",9C D4 00 26 80 01 00 00 00 1F 00 00 01 7A 00 00 00 05 00 00 00 00 00 00 00 81 80 01 00 00 00 0E 00 00 01,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
3168,TPM_RESPONSE,READ,TPM_DATA_FIFO,"{'tag': '0x0', 'response_size': 0, 'response_code': '0x0', 'response_name': 'SUCCESS', 'tree': '\x1b[34mResponse\x1b[0m                                  \x1b[30m\x1b[0m\x1b[92m.\x1b[0m                                              \x1b[33m                    \x1b[0m \x1b[33m\x1b[0m\n\x1b[34mTPM_ST\x1b[0m                                    \x1b[30m|   \x1b[0m\x1b[92m.tag\x1b[0m                                       \x1b[33m0000                \x1b[0m \x1b[33mTPM_ST.None\x1b[0m\n\x1b[31mWarning: Parsed bad value for TPM_ST .tag = 0x0 = 0 not in ValidValues(TPM_ST)\x1b[0m\n\x1b[34mUINT32\x1b[0m                                    \x1b[30m|   \x1b[0m\x1b[92m.responseSize\x1b[0m                              \x1b[33m00000000            \x1b[0m \x1b[33m0\x1b[0m\n\x1b[31mWarning: Violated size constraint .responseSize = 0: already parsed 6 bytes and .responseCode exceeds the limit by 10 byte(s).\x1b[0m\n\x1b[31mWarning: Parser done but input stream not exhausted. Remaining bytes: 0000000000\x1b[0m\n'}",8B D4 00 24 80 01 00 00 00 0C 00 00 01 7B 00 C0,00 00 00 01 00 00 00 00 00 00 00 00 00 00 00
